Entity,http://www.alexontology.com#PublicizedOn,http://www.alexontology.com#canBeImproved,http://www.alexontology.com#canBeSymptomOf,http://www.alexontology.com#hasAbilityToPerceive,http://www.alexontology.com#hasCorrelationInteroception,http://www.alexontology.com#hasDifficultiesInPerceiving,http://www.alexontology.com#hasMeasuredEmotion,http://www.alexontology.com#hasMeasuredInteroception,http://www.alexontology.com#hasMeasuredState,http://www.alexontology.com#hasMethod,http://www.alexontology.com#hasMethodScale,http://www.alexontology.com#hasSymptom,http://www.alexontology.com#has_correlation_disorder,http://www.alexontology.com#has_correlation_scale,http://www.alexontology.com#has_result_questionnaire,http://www.alexontology.com#has_result_test,http://www.alexontology.com#isBasedOnPaper,http://www.alexontology.com#isBroaderThan,http://www.alexontology.com#isConnectedTo,http://www.alexontology.com#isDiagnosedWith,http://www.alexontology.com#isInvolvedInEmotion,http://www.alexontology.com#isInvolvedInInteroception,http://www.alexontology.com#isInvolvedInState,http://www.alexontology.com#isLinkedTo,http://www.alexontology.com#isPartOf,http://www.alexontology.com#isParticipantIn,http://www.alexontology.com#isRecruitedVia,http://www.alexontology.com#isReferredToAs,http://www.alexontology.com#isRelatedTo,http://www.alexontology.com#isResultOf,http://www.alexontology.com#isSentToBody,http://www.alexontology.com#isSentToRegion,http://www.alexontology.com#isSentViaBody,http://www.alexontology.com#isSentViaRegion,http://www.alexontology.com#isSynonymousWith,http://www.alexontology.com#notAffectedBy,http://www.alexontology.com#respresentsSeverityOf,http://www.w3.org/2002/07/owl#topObjectProperty,http://www.alexontology.com#hasChronbachsAlphaValue,http://www.alexontology.com#hasEigenvalue,http://www.alexontology.com#hasFemaleParticipant,http://www.alexontology.com#hasItem,http://www.alexontology.com#hasItemScale,http://www.alexontology.com#hasMaleParticipant,http://www.alexontology.com#hasParticipantNumber,http://www.alexontology.com#hasRange,http://www.alexontology.com#hasRangeOfAge,
http://www.alexontology.com#Interoception,,,,"'Hunger'	'HeartRate'	'RespiratoryEffort'	'Itch'	'MuscleAche'	'NonAffectiveState'	'Fatigue'	'Thirst'	'Pain'	'Temperature'	'Satiety'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexontology.com#BodyPart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexontology.com#BrainRegion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexontology.com#ClinicalDisorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexontology.com#Discussion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexontology.com#Emotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexontology.com#Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexontology.com#Interoception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexontology.com#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexontology.com#PhysicalState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexontology.com#Questionnaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexontology.com#Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexontology.com#Scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
